TERMS
abstract data type
adt
abstract method
abstraction
agent architecture
agent-based model
abm
aggregate function
agile software development
algorithm
algorithm design
algorithmic efficiency
american standard code for information interchange
ascii
application programming interface
api
application software
array data structure
artifact
artificial intelligence
ai
ascii
assertion
associative array
automata theory
automated reasoning
bandwidth
bayesian programming
benchmark
best, worst and average case
big data
big o notation
binary number
binary search algorithm
binary tree
bioinformatics
bit
bit rate
blacklist
bmp file format
boolean data type
boolean expression
boolean algebra
byte
booting
callback
central processing unit
cpu
character
cipher
class
class-based programming
client
cleanroom software engineering
closure
cloud computing
code library
coding
coding theory
cognitive science
collection
comma-separated values
csv
compiler
computability theory
computation
computational biology
computational chemistry
computational complexity theory
computational model
computational neuroscience
computational physics
computational science
computational steering
computer
computer architecture
computer data storage
computer ethics
computer graphics
computer network
computer program
computer programming
computer science
computer scientist
computer security
computer vision
computing
concatenation
concurrency
conditional
container
continuation-passing style
cps
control flow
creative commons
cc
cryptography
csv
cyberbullying
cyberspace
daemon
data
data center
database
data mining
data science
data structure
data type
debugging
declaration
digital data
digital signal processing
dsp
discrete event simulation
des
disk storage
distributed computing
divide and conquer algorithm
dns
documentation
domain
domain name system
dns
double-precision floating-point format
download
edge device
emulator
encryption
event
event-driven programming
evolutionary computing
executable
execution
exception handling
existence detection
expression
fault-tolerant computer system
feasibility study
field
filename extension
software
floating point arithmetic
game theory
garbage in, garbage out
gigo
graphics interchange format
gigabyte
global variable
graph theory
handle
hard problem
hash function
hash table
heap
heapsort
human-computer interaction
hci
identifier
ide
image processing
imperative programming
incremental build model
information space analysis
information visualization
inheritance
input/output
i/o
insertion sort
instruction cycle
integer
integrated development environment
ide
integration testing
intellectual property
intelligent agent
interface
internal documentation
internet
internet bot
interpreter
invariant
iteration
java
kernel
library
computing
linear search
linked list
linker
list
loader
logic error
logic programming
machine learning
ml
machine vision
mv
mathematical logic
matrix
memory
merge sort
method
methodology
modem
natural language processing
nlp
neural network
node
number theory
numerical analysis
numerical method
object
object code
object-oriented analysis and design
ooad
object-oriented programming
oop
open-source software
oss
operating system
os
optical fiber
pair programming
parallel computing
parameter
peripheral
pointer
postcondition
precondition
primary storage
primitive data type
priority queue
procedural programming
procedural generation
procedure
program lifecycle phase
programming language
programming language implementation
programming language theory
prolog
python
quantum computing
queue
quicksort
r programming language
radix
record
recursion
reference
reference counting
regression testing
relational database
reliability engineering
requirements analysis
robotics
round-off error
router
routing table
run time
run time error
search algorithm
secondary storage
selection sort
semantics
sequence
serializability
serialization
service level agreement
set
singleton variable
software
software agent
software construction
software deployment
software design
software development
software development process
software engineering
software maintenance
software prototyping
software requirements specification
software testing
sorting algorithm
source code
spiral model
stack
state
statement
storage
stream
string
structured storage
subroutine
symbolic computation
syntax
syntax error
system console
technical documentation
third-generation programming language
top-down and bottom-up design
tree
type theory
upload
uniform resource locator
url
user
user agent
user interface
ui
user interface design
variable
virtual machine
vm
v-model
waterfall model
waveform audio file format
web crawler
wi-fi
xhtml
