name;url;brand;availability;price
L6713ATR, DC/DC Cntrlr Triple-OUT Step Down 225kHz 64-Pin TQFP EP T/R;/product0/8001091288;ST Microelectronics;10 недель,1999 шт.;680
L6738TR, DC/DC Cntrlr Single-OUT Step Down 220kHz 16-Pin VFQFPN EP T/R;/product0/8001350359;ST Microelectronics;10 недель,883 шт.;170
L6902D, Switching Voltage Regulators 1.235 to 34V Step-Dn;/product0/8004583376;ST Microelectronics;6-9 недель,7962 шт.;690
L6910TR, DC/DC Cntrlr Single-OUT Step Down 1000kHz 16-Pin SO N T/R;/product0/8001062948;ST Microelectronics;10 недель,5487 шт.;430
"L6920D, IC: driver; DC/DC converter; Uin: 0.6?5.5VDC; Uout: 2?5.2VDC; 1A";/product0/8002637237;ST Microelectronics;9-10 недель,3171 шт.;650
L6926013TR, Conv DC-DC 2V to 5.5V Synchronous Step Down Single-Out 0.6V to 5.5V 0.8A 8-Pin MSOP T/R;/product0/8001143105;ST Microelectronics;10 недель,390 шт.;320
L6926Q1TR, Conv DC-DC 2V to 5.5V Synchronous Step Down Single-Out 0.6V to 5.5V 0.8A 8-Pin VFQFPN EP T/R;/product0/8001229298;ST Microelectronics;10 недель,475 шт.;220
L6928Q1TR, Conv DC-DC 2V to 5.5V Synchronous Step Down Single-Out 0.6V to 5.5V 0.8A 8-Pin VFQFPN EP T/R;/product0/8001007284;ST Microelectronics;10 недель,436 шт.;340
L6984ATR, Conv DC-DC 4.5V to 36V Synchronous Step Down Single-Out 0.9V 0.35A 10-Pin VDFPN EP T/R;/product0/8002198958;ST Microelectronics;10 недель,9000 шт.;290
L6985F, Conv DC-DC 4V to 38V Synchronous Step Down Single-Out 0.85V to 38V 0.5A 16-Pin HTSSOP EP Tube;/product0/8002207483;ST Microelectronics;10 недель,1835 шт.;450
L7980ATR, Conv DC-DC 4.5V to 28V Synchronous Step Down Single-Out 0.6V to 28V 2A 8-Pin HSOP EP T/R;/product0/8001019520;ST Microelectronics;10 недель,12500 шт.;250
L7981ATR, Switching Voltage Regulators 3 A Step-Down Reg 4.5V to 28V 250 kHz;/product0/8004583402;ST Microelectronics;6-9 недель,10216 шт.;410
L7987L, Conv DC-DC 4.5V to 61V Synchronous Step Down Single-Out 0.8V to 61V 2A 16-Pin HTSSOP EP Tube;/product0/8003213802;ST Microelectronics;10-12 недель,2122 шт.;460
L7987L, IC REG BUCK ADJ 2A 16HTSSOP;/product0/8003704323;ST Microelectronics;7-9 недель,7 шт.;240
L7987L, Switching Voltage Regulators 61 V 2 A asynchronous step-down switching regulator adjustable current limit;/product0/8004672785;ST Microelectronics;6-9 недель,6283 шт.;890
L7987TR, Conv DC-DC 4.5V to 61V Synchronous Step Down Single-Out 0.8V to 61V 3A 16-Pin HTSSOP EP T/R;/product0/8002198938;ST Microelectronics;10 недель,25000 шт.;460
LGA50D-01DADJLPJ, Non-Isolated DC/DC Converters 7.5-14Vi 0.6-3.3Vo 25A Dual Lo-profile;/product0/8004649000;Advanced Energy;6-9 недель,244 шт.;9420
LM10010SD/NOPB, DC/DC Cntrlr Single-OUT Step Down 10-Pin WSON EP T/R;/product0/8003048092;Texas Instruments;no;250
LM20343MH/NOPB, Switching Voltage Regulators 36V 3A Adj Freq Sync Buck Reg;/product0/8004654767;Texas Instruments;no;1750
LM22670QMR-5.0/NOPB, Conv DC-DC 4.5V to 42V Synchronous Step Down Single-Out 5V 3A Automotive AEC-Q100 8-Pin HSOIC EP Tube;/product0/8003048144;Texas Instruments;no;1170
LM22670TJE-ADJ/NOPB, Conv DC-DC 4.5V to 42V Synchronous Step Down Single-Out 1.285V to 37V 3A 8-Pin(7+Tab) TO-263 T/R;/product0/8003064879;Texas Instruments;no;840
LM22671MRE-ADJ/NOPB, Conv DC-DC 4.5V to 42V Synchronous Step Down Single-Out 1.285V to 37V 0.5A 8-Pin HSOIC EP T/R;/product0/8003064881;Texas Instruments;no;540
LM22673MRE-5.0/NOPB, Switching Voltage Regulators 3A SD Vtg Reg;/product0/8004654776;Texas Instruments;no;1750
"LM22673MRE-ADJ, IC: PMIC; DC/DC converter; Uin: 4.5?42VDC; Uout: 1.285?42VDC; 3A";/product0/8004542666;Texas Instruments;no;1480
LM22674MRX-5.0/NOPB, IC REG BUCK 5V 500MA 8SOPWR;/product0/8003438449;Texas Instruments;no;420
LM22674MRX-ADJ/NOPB, IC REG BUCK ADJ 500MA 8SOPWR;/product0/8003390484;Texas Instruments;no;390
